	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
pNA_s_024um_00072_00143-1	1.7859648e-08	0.01956102	0.100402586	7.718263e-06	9.878934e-05	0.10106739	1.05132006e-19	0.52505887	1.36469375e-33	1.7722855e-33	3.2454805e-22	3.4185307e-11	2.5767484e-22	1.3297813e-28	2.7553654e-28
pNA_s_024um_00001_00262-1	0.008308355	0.39676595	0.16112848	0.09065943	0.12832162	0.024770325	1.2110051e-18	1.5985863e-07	0.035265222	0.025598986	0.00302601	0.09671288	0.00032662257	0.04152429	1.824114e-10
pNA_s_024um_00230_00097-1	0.00065963937	0.0063465983	0.41915542	0.118976966	0.007475131	0.14738853	0.03332459	0.010071899	0.015987113	0.05174922	0.16385369	0.010148043	0.0049310955	0.010216814	0.00040443777
pNA_s_024um_00099_00134-1	1.4713786e-12	0.15608363	0.3288835	0.0055529117	0.003398191	2.6881655e-05	0.085268475	5.0857543e-12	0.032212123	0.0009907656	1.25547e-09	9.2790325e-15	4.889484e-07	0.08694629	1.1572188e-10
pNA_s_024um_00170_00117-1	0.007814618	5.879267e-09	0.44584787	0.051080175	0.12433648	0.07813494	0.014170041	7.4680683e-19	2.5484517e-11	0.018671798	0.15334456	1.6644404e-07	0.034517217	0.00057563046	5.4791253e-06
pNA_s_024um_00046_00243-1	0.103648014	0.776183	1.5107093e-10	5.166723e-13	0.22955097	3.9151904e-21	2.3468635e-26	0.43867874	3.266791e-20	9.333667e-10	3.077029e-08	1.4351288e-15	1.6860398e-06	5.8929822e-06	4.0873175e-17
pNA_s_024um_00057_00147-1	5.095529e-07	0.102815785	0.07653111	0.24337913	0.4028439	0.021594837	0.008376046	5.8114216e-07	1.3333239e-13	2.5841812e-13	0.12296496	1.8945738e-06	0.00066315755	0.0050323433	1.9505569e-11
pNA_s_024um_00057_00060-1	0.036187783	0.0029158506	0.00021559157	0.53970796	0.005941972	0.070109285	1.5675132e-17	1.5412483e-05	0.0013876562	0.07145677	0.15886258	3.8056535e-07	0.015146691	0.07307088	3.6234726e-12
pNA_s_024um_00169_00074-1	0.07177995	0.24942048	0.20446485	0.18690705	0.099969625	2.957864e-05	0.033787813	0.007524588	1.368389e-16	0.11810586	0.001424676	0.00016856969	2.3398808e-10	0.032262724	8.473618e-15
pNA_s_024um_00007_00074-1	0.13975829	0.087674424	0.27241632	0.18358725	0.06389423	2.4313798e-13	1.5524156e-14	0.038754318	6.546672e-17	0.06513686	0.0828463	0.0010590736	8.9209795e-10	0.009660009	1.3017759e-08
pNA_s_024um_00048_00155-1	0.0043490985	0.36202452	0.18532458	0.019624231	0.32584798	0.063728675	4.7429725e-13	2.2621707e-05	0.04647492	0.024835652	0.046854302	0.012646168	1.4436648e-06	1.9558183e-05	2.0302767e-08
pNA_s_024um_00186_00167-1	3.0344397e-11	0.2926612	0.11923354	0.20341192	0.009034613	2.0930875e-06	3.2710272e-11	3.7433693e-12	3.1459405e-11	0.14819217	0.0024384283	1.3305994e-09	0.16913685	0.06977545	7.902626e-09
pNA_s_024um_00100_00167-1	6.656025e-10	0.13337338	0.07852437	0.345136	0.22856876	8.906595e-09	1.1519872e-07	1.737372e-14	4.0741633e-15	1.7638818e-18	0.20749092	1.4200629e-07	5.3645904e-11	0.049496043	1.9920296e-10
pNA_s_024um_00219_00092-1	0.06434456	5.4592437e-08	0.086632125	0.19462347	0.23568115	0.29360473	0.03540821	0.036797274	2.6275053e-11	0.09579091	0.0014886664	1.7881703e-05	0.006599901	0.0035506075	1.3780976e-06
pNA_s_024um_00142_00188-1	1.6121608e-20	0.45287943	0.00022601795	0.21744235	0.11674584	0.051428262	1.8599846e-13	0.15947726	0.033299405	4.9168204e-15	0.0085095195	0.0078087505	9.540308e-08	0.074211314	6.854703e-08
pNA_s_024um_00011_00004-1	5.0449697e-05	0.0056764768	0.14332137	0.2450835	0.31275123	0.083600685	1.8228875e-17	5.4553305e-24	5.5708993e-10	1.09758726e-13	0.06758235	0.04688212	0.0413083	0.014817973	0.08826972
pNA_s_024um_00173_00217-1	1.3155879e-11	0.23116629	0.25183603	0.33629188	0.23435062	0.031881478	5.4187297e-11	0.0031263535	9.825013e-08	0.031721584	0.06499909	0.002328193	0.032467537	6.7236e-07	4.6469543e-07
pNA_s_024um_00269_00239-1	0.291456	0.000113259615	9.212361e-09	0.00072364707	0.012287818	0.3354417	0.11328037	0.028103173	0.09173486	0.16310889	1.3672643e-08	0.006537812	0.04698454	0.00026551797	1.1283923e-10
pNA_s_024um_00086_00169-1	1.0065948e-14	0.6730359	1.5758897e-05	0.00022737736	0.21864586	7.928134e-05	0.008410053	5.803989e-15	1.3955496e-14	2.7569085e-13	1.0309592e-06	0.025740467	0.06430028	0.012079966	0.08421986
pNA_s_024um_00100_00168-1	0.017318504	0.07026728	0.08285908	0.4747072	0.0009484611	8.3229825e-06	7.733898e-14	0.002927528	3.4456074e-14	0.009937814	0.00042597478	0.07471868	0.04385445	0.15305823	2.627818e-05
pNA_s_024um_00196_00181-1	0.010455509	0.4240284	6.5108754e-05	0.25037947	0.04269125	6.5480524e-11	0.0053750537	0.014321356	5.219819e-10	0.0019419099	0.00016923323	0.22842883	0.059174247	0.043577	0.0144706555
